JobTitle,URL,Company,Location,Description,Date,Salary,DateScraped
Software Engineer,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D6OzZjpD_hbicRkMZwNNvvxSeL23iIfvaC4EytleQ8zNLg88ysmJxqj6Sx0aTMZaOaQ62wqhYBBfednm6FE0p_r9NDIU7fO-BX0J2qPDLVkJEyFd2sKzkIOBwt-3WUC4wZtt93rEhMmv3Ic50tuwt-3HcOLg8FtH5tP4cWmdl0d1eMVu7tZFJFkkZbc3e6W7QIhL6TuLQtVU-9K7BunZKSIuGLifZ7IEB1ammq7Fk_uTDjjdr1WgwXiFlFJp2pm8_0MjU3F3tMGbGVX6UbwC3-ird9DzsHznpTNbjA91IGQ6KFz4OVeZi7XUEc7RpIYneqDskoex4X_b9r-QCo2uZkm1xS4wyI7G5tyLeGy2995l7LRcCrcdS5LxkxqKZKA5aiMBmQUrDL5kjc5O-dVewOmnaIPwFgd8gdMXSoxgfbXFcB4av5uNL6VJb8gQKV2pKenhpGih9ren61buvgquq-5IZB8D1FqLVV9obCQfwj8aCQLkkyAxW9&p=12&fvj=1&vjs=3,Entegee,Saddle River NJ,"Familiarity with software engineering tools and practices like source control, unit testing, build automation, and continuous integration.",Active 7 days ago,"$100,000 - $130,000 a year",2021-06-18 01:10:35.605242
AWS Software Development Engineer - Location Negotiable / Remote,https://indeed.com/rc/clk?jk=b80cc611cc74b6c2&fccid=a4e4e2eaf26690c9&vjs=3,Accenture,New York NY,"Minimum 5 years coding knowledge and experience with java and object oriented methodologies.
Successfully developed for large scale distributed systems and…",30+ days ago,Unknown,2021-06-18 01:10:35.605242
C# Engineer - Accounting Technology,https://indeed.com/rc/clk?jk=5deee54d4bcf8c79&fccid=3187d6d05b329ebf&vjs=3,Balyasny,New York NY,"A strong desire to learn and gain exposure to the business side is critical to success in this position.
Strong experience in multi-threaded programming and…",30+ days ago,Unknown,2021-06-18 01:10:35.606239
C++ Dev (Application Development),https://indeed.com/rc/clk?jk=53b9e9da13ea3473&fccid=0c39fb2c91742dcf&vjs=3,Morgan Stanley,New York NY,"Familiarity with full life-cycle software development in a team environment.
Strong technical background in software development.",10 days ago,Unknown,2021-06-18 01:10:36.162258
Full Stack Software Engineer,https://indeed.com/rc/clk?jk=98da528eff61fb52&fccid=cc399cba47ef9a2a&vjs=3,SeedInvest,New York NY ,"2 or more years of experience with software engineering.
A deep passion for startups and entrepreneurship.
Work closely with SeedInvest's founders and business…",30+ days ago,Unknown,2021-06-18 01:10:36.163258
Full Stack Software Engineer,https://indeed.com/rc/clk?jk=01ad9cd4e865785c&fccid=8844f3447ed4e2d6&vjs=3,Simons Foundation,New York NY ,"Experience with React or similar JS libraries or frameworks.
Prior experience with AWS or similar web technologies.
Review code produced by other developers.",30+ days ago,Unknown,2021-06-18 01:10:36.164292
Staff Software Engineer (ML platform),https://indeed.com/rc/clk?jk=99d1bfadfa5abee7&fccid=12e41f7040f168e8&vjs=3,"Grubhub Holdings, Inc.",New York NY ,"6+ years of software engineering experience focusing on tools for machine learning infrastructure, including expert proficiency with both Python as well as Java…",8 days ago,Unknown,2021-06-18 01:10:36.164292
MACHINE LEARNING ENGINEER,https://indeed.com/rc/clk?jk=1fe19b889abf52cd&fccid=113aaa3832064b31&vjs=3,Hudson's Bay,New York NY,"Partner with data engineering to architect scalable, production-ready infrastructure that supports continuous learning.
YOU’LL STAND OUT IF YOU HAVE.",10 days ago,Unknown,2021-06-18 01:10:36.165292
Backend Software Engineer (mid-level),https://indeed.com/rc/clk?jk=8fb70d6911c4c2ae&fccid=c4eb2c7419809f9c&vjs=3,Axomic,New York NY ,"Confident with Git version control and code reviews.
Take a central role in the creation of software services from the design phase through to production.",30+ days ago,Unknown,2021-06-18 01:10:36.166285
,https://indeed.com/rc/clk?jk=039dc55f32af6c39&fccid=aaf3b433897ea465&vjs=3,"JPMorgan Chase Bank, N.A.",New York NY,"Understanding of software skills such as business analysis, development, maintenance and software improvement.
BS/BA degree or equivalent experience.",5 days ago,Unknown,2021-06-18 01:10:36.167285
,https://indeed.com/rc/clk?jk=758fbd7dd90de8d8&fccid=399557ec2392f1f7&vjs=3,JND Inc.,Berkeley Heights NJ,"Responsible for the verification and validation of latest test devices and software applications.
Prepare test reports on readiness of software after analysis…",Active 3 days ago,Unknown,2021-06-18 01:10:36.167285
Software Engineer - Core Platform,https://indeed.com/rc/clk?jk=b17983cf71149fbd&fccid=2559645015f8b2eb&vjs=3,Twistle,New York NY,"Our vision is to make sure every patient feels connected, supported and reassured through their care journey.
Experience with cloud based infrastructure (we use…",29 days ago,Unknown,2021-06-18 01:10:36.168280
Software Engineer (multiple openings),https://indeed.com/rc/clk?jk=d4fecdea58f43e4e&fccid=b178e679a50cdd59&vjs=3,Truveris,New York NY,"Strong expertise in using modern python frameworks.
Collaborate with other engineers to review code and participate in pair-programming.",30+ days ago,Unknown,2021-06-18 01:10:36.169277
Backend Software Engineer,https://indeed.com/rc/clk?jk=613a4a15b4fad0b0&fccid=9c271f641a19f673&vjs=3,Prescriptive Data,New York NY,"Solid software design knowledge – you should know how to create extensible, reusable software that meets desired architectural objectives.",30+ days ago,Unknown,2021-06-18 01:10:37.293929
Software Engineer - Full Stack,https://indeed.com/rc/clk?jk=ec327e66eced0d71&fccid=bfddf8d4b5f9bdf6&vjs=3,The Street.com,New York NY ,"Participate in all phases of the software development cycle.
You should thrive in a fast-paced environment and be able to work well with a variety of…",30+ days ago,Unknown,2021-06-18 01:10:37.294909
Software Engineer - Prime Services Risk Technology,https://indeed.com/rc/clk?jk=4a005771b0574c31&fccid=16a97ed26c75bf2d&vjs=3,Goldman Sachs,New York NY ,"Join our engineering teams that build massively scalable software and systems, architect low latency infrastructure solutions, proactively guard against cyber…",13 days ago,Unknown,2021-06-18 01:10:37.294909
Machine Learning Engineer,https://indeed.com/rc/clk?jk=d4ae71390daa6723&fccid=bf8d0f5b45d49fcf&vjs=3,VISITING NURSE SERVICE OF NEW YORK,Manhattan NY,"Experience with cloud computing (e.g. AWS) and columnar databases (e.g. Redshift) in a cloud environment.
Experience with version control, shell scripting, and…",22 days ago,Unknown,2021-06-18 01:10:37.295907
,https://indeed.com/rc/clk?jk=897970b83b9f7e10&fccid=df30a08564cdd12e&vjs=3,Simon & Schuster,New York NY ,"3-5 years professional experience working with Ruby on Rails or equivalent experience in object oriented languages such as Java, Python, C# or PHP and…",6 days ago,Unknown,2021-06-18 01:10:37.296903
,https://indeed.com/rc/clk?jk=4901aab634432947&fccid=3ba25d71da51335d&vjs=3,Kaiyo,New York NY,"A seasoned software engineer with at least 5 years professional experience, preferably including experience at an early stage company.",Today,Unknown,2021-06-18 01:10:37.296903
"Assistant Director, Application Development, MWBE",https://indeed.com/rc/clk?jk=8524222a81fc20f4&fccid=4bfd7c7081288512&vjs=3,"Empire State Development, NYS",New York NY ,"Relevant experience required: Minimum of 5 years extensive experience in a related field.
Net, Java, Python, PHP, JavaScript (JQuery Angular), HTML 5, Mobile…",8 days ago,"$94,000 - $104,000 a year",2021-06-18 01:10:37.297901
Client Solutions Engineer (API/SDK),https://indeed.com/company/Foursquare/jobs/Client-Solution-Engineer-8521c67d677fc3c8?fccid=f65aedcd2de292bf&vjs=3,Foursquare,New York NY,"2-3 years experience in Solutions Architecture, Sales Engineering, Developer Evangelist or similar client-facing technical roles.
401(k) with company match.",21 days ago,Unknown,2021-06-18 01:10:37.297901
,https://indeed.com/company/SkyWalkGlobalServices/jobs/Back-End-Java-Developer-2216c54decd49a13?fccid=9383209891905cf1&vjs=3,SkyWalkGlobalServices,New York NY,"Strong troubleshooting skills (client and server side).
BS in CS (or equivalent) with 5+ years of software development experience.
Temporarily due to COVID-19.",Active 2 days ago,$70 - $80 an hour,2021-06-18 01:10:37.298900
Tableau Engineer,https://indeed.com/rc/clk?jk=58bd1d53c4d0e35a&fccid=b178e679a50cdd59&vjs=3,Truveris,New York NY,"Collaborate with other teams and/or engineers to review code and participate in pair-programming.
Strong experience working with PostgreSQL / SQL (e.g.,…",13 days ago,Unknown,2021-06-18 01:10:37.299895
Python Engineer,https://indeed.com/rc/clk?jk=02aa57266f1a0d50&fccid=548e0909717a6ddf&vjs=3,Millennium Management LLC,New York NY,"4+ years of experience in software development.
Design, build and refactor robust software applications with clean and concise code.",30+ days ago,Unknown,2021-06-18 01:10:37.796081
Full Stack Engineer,https://indeed.com/rc/clk?jk=fd2b969dbc8c1469&fccid=b812544c2237ac63&vjs=3,Madison Logic,New York NY ,In this role you are expected to upgrade and maintain both the back and frontend in addition to programming the various features of client-side and user-side…,27 days ago,Unknown,2021-06-18 01:10:37.797080
Software Engineer: Modeling Tools,https://indeed.com/rc/clk?jk=bd84d6d4bbd61aaf&fccid=facc18fe475dac15&vjs=3,"Two Sigma Investments, LLC.",New York NY,"At least 2 years of experience in a full-time software development field.
Back end development in Python, using cloud, microservices, and caching.",30+ days ago,Unknown,2021-06-18 01:10:37.797080
Android Software Engineer - Consumer Client API,https://indeed.com/rc/clk?jk=090c21c58fbc5751&fccid=7a3824693ee1074b&vjs=3,Twitter,New York NY,"Some experience working on a native Android application, so you can not only understand the complexities and requirements of client-side software engineers but…",30+ days ago,Unknown,2021-06-18 01:10:37.798075
,https://indeed.com/company/Ribbon/jobs/Devop-Engineer-Sre-26048a52047c977e?fccid=84ca36f16e65e927&vjs=3,Ribbon,New York NY ,Build scalable systems through mechanisms like automation; evolve systems by pushing for changes that improve reliability and velocity.,Today,"$95,382 - $194,151 a year",2021-06-18 01:10:37.799076
Front-End Engineer II,https://indeed.com/rc/clk?jk=fd885b4998038f4c&fccid=12e41f7040f168e8&vjs=3,"Grubhub Holdings, Inc.",New York NY ,"Strong familiarity of server-side web technologies such as Nodejs, Java, Python, etc.
Experience writing object-oriented code, especially in JavaScript.",30+ days ago,Unknown,2021-06-18 01:10:37.799076
Python API Engineer,https://indeed.com/rc/clk?jk=1db1d59922d05e95&fccid=d5b4e29f8024eca4&vjs=3,OpenSlate,New York NY ,"Experience building non-trivial, data-centric python applications and APIs in a Linux environment.
Supporting the software and systems you write and deploy in…",30+ days ago,Unknown,2021-06-18 01:10:37.800070
Software Engineer - C++ Order Execution,https://indeed.com/rc/clk?jk=b8becbd361c4c06b&fccid=548e0909717a6ddf&vjs=3,Millennium Management LLC,New York NY,"Millennium’s Fixed Income and Commodities Order Execution team is looking for a software developer who will be working on designing, implementing, and…",30+ days ago,Unknown,2021-06-18 01:10:37.801030
Software Development Engineer (Fullstack),https://indeed.com/rc/clk?jk=35a7228a5184c66c&fccid=7f8f32670248a0ed&vjs=3,4C Insights,New York NY ,"Work with other engineers, product mangers, designers and leadership to turn our vision into a concrete roadmap every quarter.",30+ days ago,Unknown,2021-06-18 01:10:37.802028
,https://indeed.com/rc/clk?jk=ee1588b52d06a0e1&fccid=aaf3b433897ea465&vjs=3,"JPMorgan Chase Bank, N.A.",Jersey City NJ,"Understanding of cloud, virtualization, APIs, and modern software languages.
Provide technical expertise throughout the software lifecycle including design,…",2 days ago,Unknown,2021-06-18 01:10:37.802028
Webmaster + Content Manager LOCAL TO EAST COAST (EST),https://indeed.com/company/GVC-PRN/jobs/Webmaster-Content-Manager-Local-East-Coast-83639290db2a8307?fccid=6ead7d0d712f794f&vjs=3,GVC PRN,New York NY ,"Hands-on experience with network diagnostics, traffic analytics tools, and SEO practices.
You will take lead of projects and wear multiple hats -- from Content…",Active 15 days ago,$25 - $35 an hour,2021-06-18 01:10:37.803062
"Software Engineer - Windows Endpoint - Opportunity for Working Remotely New York, NY",https://indeed.com/rc/clk?jk=f6ea07ba97c0fd10&fccid=c762a27145bd166e&vjs=3,VMware,New York NY,"Analyze, isolate and resolve problems in product software with little or no guidance.
BS degree or higher in Computer Engineering, Computer Science, or similar.",30+ days ago,Unknown,2021-06-18 01:10:38.351997
,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DSgjPPcnEdvoK3uuxfISLALE6pB1FR7YSHOr_tSg5_QKRYSnOT6R6UOXzcwA0IQuhlZYPxCGDvvEsVnpnpxuLSMNGU6TiYtJ5tqsDN32-CGzuBZpvWT4MWO5xcWtbP7uMayPtuRkY2oPGHVd4_YU9p9rkPpliFq0xBr0zAyU3iruaJieFm2qeTOEoH8xt_NUxHSWUCMBXbEfqMZBzh7F30BNiQVRIppqQFCwjIG0KRAKOFbmaWXbGdRUFQu15a49k8vpxxHD0NnRJT0I6VH8IdNxqCIhYqec3_wp-Oti0ga7NnxDSYGqmBBXq6VaKLDYOL8ZLaO7m59hqTXC2_yCYrnlhi_pzatnwkghtxDrmpP6hqrAPREs-VuURZ6057beinnWwX_Xak8ZxmznfTfF0HOAdzlxROjRr1NC0Llul4CmZ5mBlwhfywp9n1EmOde9WTn6M2JmUGsIajC_vcGbYNhd7iQWu7eLvxgJB5pHOXt7RYlPS5pmgw4cofsX89bXxUEWHSbR3NXW0Aky4tIOU1jBim-ZzhXInYq27ZEhCqeIC9V0nIQ7Il&p=3&fvj=0&vjs=3,Toyota Research Institute,New York NY,"The ideal candidate is a self sufficient engineer with 3+ years of relevant experience, strong C++ development skills, and extensive experience with python and…",Just posted,$70 - $80 an hour,2021-06-18 01:10:38.352993
,https://indeed.com/rc/clk?jk=68b4820544ba95d6&fccid=df30a08564cdd12e&vjs=3,Simon & Schuster,New York NY ,"3-5 years professional experience working with Ruby on Rails or equivalent experience in object oriented languages such as Java, Python, C# or PHP and…",6 days ago,Unknown,2021-06-18 01:10:38.353990
Dev Other (Application Development),https://indeed.com/rc/clk?jk=2f5585d1ab70d443&fccid=0c39fb2c91742dcf&vjs=3,Morgan Stanley,New York NY,"Our core platform component development focus means that our primary clients are not the teams and individuals operating on the financial side, but their end…",8 days ago,Unknown,2021-06-18 01:10:38.353990
Mobile Application Tester,https://indeed.com/company/infolob/jobs/Mobile-Application-Tester-67edb569f8706ac9?fccid=5b83264e35625d6c&vjs=3,infolob,New York NY,"In-depth understanding of software development lifecycles, QA methodologies, QA processes & release management.
Job Types: Full-time, Contract.",Active 14 days ago,$21 - $65 an hour,2021-06-18 01:10:38.354989
Full Stack Developer – AI,https://indeed.com/rc/clk?jk=eaf11fe4ae4a80d3&fccid=f8b728c0f6f4871e&vjs=3,The New School,New York NY ,"The Full Stack Developer (AI) will leverage their expert knowledge of artificial intelligence, machine learning, and application development to create…",30+ days ago,Unknown,2021-06-18 01:10:38.355985
Python Developer,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DS99tS4nqsASat5hSHxZiE-Itoj86SpKpMHaNFCfBCrmK5BmxrMVTrS1PncZAcoehxNWjupXE5HxUsDiTuXF8FWHiA8hHND747zeMG5TltS1f8GyFnNrMguAsRaWws_EJGmBywQdeStNNsHWhiQg5YUJgMZbRAz1H6O7bVZJ__aLUBR4xmq933k8OcJK0Yx_bE_c-wW9FTcWr95-wUSUXaLQOgf1bXZOP4vC3y6KBOsOqNAEWsOCrXSdgj51kqoAgo5qaa6ezTf8uX8TIdQO1RNjsmxJhRo_-f-s0_J6iweWU658bspCQH8mRkluFdXYt_Pj6EvS1LXYB1o0A5Yht6sIomrg3uJTNXhk5Opl40wrXtj-5JBU-4YaICfOj4lw3GGfBup4df9ENefa3l8lJ3_BKI-j3BksWBjZlHhqdo62qhOmKGiWM6jF14yLKPj52pVdpjMrhGJ5KVffQyI4GtiuRQ8OZtnTmqDQJBOiUpqg==&p=10&fvj=1&vjs=3,Precision Technologies Corp.,United States,"Solid understanding of software development principles and best practices.
2-4 years as a work experience as a Python Developer.",30+ days ago,"$66,000 - $71,831 a year",2021-06-18 01:10:38.355985
Fullstack Engineer,https://indeed.com/rc/clk?jk=760e7839b8a5ed73&fccid=8a2fab7a8b6807c6&vjs=3,Gallery Media Group,New York NY,"3-5 years experience in web based engineering ideally across devops, backend and frontend technologies.
Architect and develop highly-scalable applications and…",8 days ago,Unknown,2021-06-18 01:10:38.356986
"Software Engineer, Fullstack - Consumer Banking",https://indeed.com/rc/clk?jk=fecce9840be2d26a&fccid=c0222312b34b096a&vjs=3,Blend Labs,New York NY,"Proven industry experience as a software engineer (domain knowledge in enterprise software or home lending not required).
Meaningful equity and a 401(k) plan.",30+ days ago,Unknown,2021-06-18 01:10:38.357982
AWS DevOps Engineer,https://indeed.com/rc/clk?jk=7dec0be4c927e8c9&fccid=f15bfc513a14b84c&vjs=3,Hospital for Special Surgery,New York NY ,Cyber Security and Risk Management department is seeking a skilled DevOps Engineer with a strong cyber security background to join their Engineering and…,30+ days ago,Unknown,2021-06-18 01:10:39.399130
,https://indeed.com/company/Def-Method/jobs/Senior-Software-Engineer-943198294fd4e126?fccid=8705462b2e2930e5&vjs=3,Def Method,New York NY ,"\* Making software in small teams with active customer involvement.
\* Investment in learning: one month of professional development time for courses/conference…",Active 3 days ago,"$120,000 - $140,000 a year",2021-06-18 01:10:39.399130
Python Developer,https://indeed.com/company/Nava/jobs/Python-Developer-5b6a3c28ff481769?fccid=25e42098d7daadfb&vjs=3,Nava,New York NY,"Agile methodologies: 5 years (Preferred).
Working proficiency in a portion of software engineering disciplines and demonstrates understanding of overall…",Active 2 days ago,$43 - $55 an hour,2021-06-18 01:10:39.400122
"1353-Senior Software Engineer, New York, NY",https://indeed.com/company/Infoorigin-inc/jobs/Senior-Software-Engineer-a4beef798233e4cd?fccid=a6f1343d0f3bfab0&vjs=3,Infoorigin inc,New York NY,"We are looking for a senior software developer to lead the large scale software design, development, maintenance and support of investment services systems and…",Active 3 days ago,"$92,266 - $223,326 a year",2021-06-18 01:10:39.401121
Senior Software Engineer/ Front-End,https://indeed.com/company/And-Luxe-Inc./jobs/Senior-Software-Engineer-64cc60f519e5fe42?fccid=043edc2a1b9b7f78&vjs=3,And Luxe Inc.,New York NY ,"At times, contribute as a full-stack software engineer on an as needed or as desired basis.*.
Create and maintain analytics tooling.",Active 7 days ago,"$150,000 - $180,000 a year",2021-06-18 01:10:39.401121
,https://indeed.com/rc/clk?jk=26a3fa779cf87716&fccid=0c39fb2c91742dcf&vjs=3,Morgan Stanley,New York NY,"Websphere, RESTful WebServices, ExtJS 5.x, jQuery, Angular, Python.
Experience in the development of service oriented architecture application, good…",7 days ago,Unknown,2021-06-18 01:10:39.402117
,https://indeed.com/rc/clk?jk=65beda37919eff04&fccid=a4e4e2eaf26690c9&vjs=3,Accenture,New York NY,"Developing software solutions for real end users, in any of the following platforms: mobile, web, desktop or embedded.
Working on cross-functional teams.",7 days ago,Unknown,2021-06-18 01:10:39.402117
